WLTP DRIVE CYCLE,
219,9.2777852
220,9.2500074
221,9.2500074
222,9.2222296
223,9.1944518
224,9.1944518
225,9.1388962
226,9.1111184
227,9.0833406
228,9.0555628
229,8.9722294
230,8.8611182
231,8.6944514
232,8.5833402
233,8.472229
234,8.472229
235,8.5277846
236,8.7222292
237,9.0000072
238,9.3611186
239,9.7500078
240,10.0833414
241,10.3611194
242,10.5277862
243,10.6666752
244,10.7222308
245,10.7777864
246,10.833342
247,10.8888976
248,10.9444532
249,10.972231
250,11.0000088
251,11.0555644
252,11.11112
253,11.250009
254,11.4166758
255,11.6388982
256,11.8888984
257,12.1666764
258,12.638899
259,12.7500102
260,12.7222324
261,12.6111212
262,12.4444544
263,12.3888988
264,12.50001
265,12.7500102
266,13.055566
267,13.3055662
268,13.4166774
269,13.4166774
270,13.3888996
271,13.333344
272,13.2500106
273,13.1111216
274,12.916677
275,12.5555656
276,12.1388986
277,11.666676
278,11.2222312
279,10.833342
280,10.4722306
281,10.1111192
282,9.7777856
283,9.5277854
284,9.3888964
285,9.2500074
286,9.027785
287,8.5833402
288,7.9444508
289,7.1944502
290,6.4166718
291,5.5833378
292,4.8055594
293,4.1944478
294,3.8055586
295,3.7222252
296,3.8611142
297,4.16667
298,4.5277814
299,4.8333372
300,5.0555596
301,5.1666708
302,5.2222264
303,5.277782
304,5.416671
305,5.5833378
306,5.694449
307,5.6111156
308,5.1666708
309,4.583337
310,4.0000032
311,3.7222252
312,3.5833362
313,3.5277806
314,3.4444472
315,3.4444472
316,3.5555584
317,3.9166698
318,4.5000036
319,5.2222264
320,6.0833382
321,6.94445
322,7.8888952
323,8.6944514
324,9.444452
325,9.6111188
326,9.4166742
327,8.8611182
328,8.33334
329,7.9444508
330,7.6666728
331,7.500006
332,7.3055614
333,7.1666724
334,7.0555612
335,6.9722278
336,6.8611166
337,6.6944498
338,6.527783
339,6.1388938
340,5.694449
341,5.277782
342,5.0833374
343,5.000004
344,4.9166706
345,4.8333372
346,4.5277814
347,3.9722254
348,3.194447
349,2.3888908
350,1.527779
351,0.8611118
352,0.3333336
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0.3888892
361,0.8888896
362,1.5555568
363,2.2500018
364,2.8611134
365,3.3611138
366,3.611114
367,3.750003
368,3.9444476
369,4.2222256
370,4.6388926
371,5.0833374
372,5.5000044
373,5.833338
374,6.1388938
375,6.527783
376,6.9722278
377,7.5277838
378,8.055562
379,8.472229
380,8.6666736
381,8.6666736
382,8.5277846
383,8.2777844
384,7.9444508
385,7.6111172
386,7.3888948
387,7.2500058
388,7.1388946
389,6.9166722
390,6.6111164
391,6.2222272
392,5.9166714
393,5.7500046
394,5.5833378
395,5.3333376
396,4.8888928
397,4.5000036
398,4.2500034
399,4.0833366
400,3.9444476
401,3.8055586
402,3.7222252
403,3.611114
404,3.5555584
405,3.472225
406,3.3611138
407,3.0833358
408,2.6666688
409,2.0555572
410,1.3611122
411,0.8055562
412,0.3333336
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0.3888892
482,0.694445
483,1.4444456
484,2.1944462
485,2.8611134
486,3.5555584
487,4.1944478
488,4.8333372
489,5.4444488
490,6.0555604
491,6.7777832
492,7.361117
493,8.0000064
494,8.5000068
495,8.888896
496,9.1111184
497,9.2500074
498,9.444452
499,9.72223
500,10.0277858
501,10.1666748
502,10.2500082
503,10.3055638
504,10.4444528
505,10.555564
506,10.5833418
507,10.4722306
508,10.2500082
509,10.0277858
510,9.9166746
511,9.9722302
512,10.138897
513,10.5000084
514,10.8888976
515,11.2777868
516,11.6388982
517,11.9166762
518,12.1111208
519,12.2500098
520,12.361121
521,12.4722322
522,12.6111212
523,12.361121
524,11.805565
525,10.972231
526,10.138897
527,9.305563
528,8.4444512
529,7.500006
530,6.5555608
531,5.833338
532,5.694449
533,6.1944494
534,6.8888944
535,7.7500062
536,8.4166734
537,9.2222296
538,9.8333412
539,10.555564
540,11.1388978
541,11.8611206
542,12.361121
543,12.8611214
544,13.2222328
545,13.5555664
546,13.8055666
547,14.0555668
548,14.2777892
549,14.2777892
550,13.9444556
551,13.2777884
552,12.4166766
553,11.527787
554,10.6111196
555,9.8333412
556,9.0555628
557,8.2500066
558,7.361117
559,6.5000052
560,5.6666712
561,4.861115
562,4.0000032
563,3.2222248
564,2.3333352
565,1.5555568
566,0.7222228
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0.4444448
602,1.0000008
603,1.7500014
604,2.500002
605,3.2777804
606,3.9444476
607,4.6111148
608,5.138893
609,5.7777824
610,6.5000052
611,7.4722282
612,8.4166734
613,9.1111184
614,9.4722298
615,9.5000076
616,9.3333408
617,8.9166738
618,8.33334
619,7.638895
620,6.9722278
621,6.3333384
622,5.694449
623,4.9722262
624,4.1944478
625,3.7222252
626,3.5555584
627,3.8055586
628,4.444448
629,5.0277818
630,5.7777824
631,6.5833386
632,7.361117
633,8.1388954
634,8.888896
635,9.583341
636,10.2222304
637,10.7222308
638,11.0555644
639,11.2777868
640,11.4166758
641,11.6388982
642,11.8888984
643,12.3055654
644,12.6944546
645,13.1666772
646,13.5833442
647,14.0555668
648,14.444456
649,14.9166786
650,15.27779
651,15.7777904
652,16.111124
653,16.6111244
654,16.9722358
655,17.3333472
656,17.500014
657,17.638903
658,17.500014
659,17.222236
660,16.7777912
661,16.2777908
662,15.7500126
663,15.27779
664,14.9166786
665,14.6389006
666,14.4166782
667,14.2777892
668,14.166678
669,14.0833446
670,14.0555668
671,14.1111224
672,14.2222336
673,14.3611226
674,14.5277894
675,14.7500118
676,14.9444564
677,15.138901
678,15.3055678
679,15.5277902
680,15.694457
681,15.8611238
682,16.0555684
683,16.250013
684,16.4722354
685,16.7222356
686,17.0277914
687,17.3333472
688,17.6111252
689,17.8889032
690,18.1666812
691,18.4166814
692,18.6666816
693,18.888904
694,19.1111264
695,19.305571
696,19.4722378
697,19.6111268
698,19.722238
699,19.8889048
700,20.0555716
701,20.2222384
702,20.416683
703,20.5833498
704,20.6389054
705,20.6389054
706,20.4722386
707,20.1666828
708,19.722238
709,19.2222376
710,18.6389038
711,18.1389034
712,17.7222364
713,17.3889028
714,17.1389026
715,17.0000136
716,16.8889024
717,16.8611246
718,16.9166802
719,17.0000136
720,17.1389026
721,17.2500138
722,17.2777916
723,17.2777916
724,17.1111248
725,16.7222356
726,16.250013
727,15.694457
728,15.1666788
729,14.7777896
730,14.6111228
731,14.6666784
732,14.861123
733,15.1111232
734,15.3055678
735,15.4444568
736,15.416679
737,15.2500122
738,15.0277898
739,14.7777896
740,14.4722338
741,14.1111224
742,13.7222332
743,13.2500106
744,12.6666768
745,12.083343
746,11.5000092
747,10.8055642
748,10.000008
749,9.0833406
750,8.1666732
751,7.2777836
752,6.527783
753,6.0277826
754,5.7500046
755,5.6111156
756,5.5277822
757,5.416671
758,5.138893
759,4.7777816
760,4.3888924
761,4.1111144
762,4.0000032
763,4.1388922
764,4.4166702
765,4.7500038
766,5.0833374
767,5.3888932
768,5.6666712
769,5.8888936
770,6.0277826
771,6.0277826
772,5.9166714
773,5.6388934
774,5.3055598
775,4.9722262
776,4.6944482
777,4.4722258
778,4.3333368
779,4.2500034
780,4.2222256
781,4.1944478
782,4.16667
783,4.16667
784,4.16667
785,4.16667
786,4.16667
787,4.1111144
788,4.027781
789,3.9166698
790,3.750003
791,3.611114
792,3.5277806
793,3.472225
794,3.472225
795,3.5000028
796,3.611114
797,3.7777808
798,4.0555588
799,4.3611146
800,4.7500038
801,5.1944486
802,5.6111156
803,6.0833382
804,6.5555608
805,7.0555612
806,7.5277838
807,8.0277842
808,8.4444512
809,8.888896
810,9.2777852
811,9.72223
812,10.1111192
813,10.5833418
814,11.0277866
815,11.5555648
816,12.0277874
817,12.5277878
818,13.0277882
819,13.5277886
820,14.027789
821,14.5555672
822,15.0277898
823,15.4722346
824,15.833346
825,16.1666796
826,16.4722354
827,16.6944578
828,16.9166802
829,17.1111248
830,17.2777916
831,17.4166806
832,17.5555696
833,17.6111252
834,17.638903
835,17.638903
836,17.6944586
837,17.777792
838,17.9444588
839,18.1389034
840,18.3889036
841,18.5833482
842,18.8333484
843,19.0555708
844,19.2777932
845,19.4722378
846,19.6944602
847,19.9166826
848,20.138905
849,20.3333496
850,20.5000164
851,20.6666832
852,20.7500166
853,20.7500166
854,20.7222388
855,20.6111276
856,20.416683
857,20.1666828
858,19.9444604
859,19.722238
860,19.4722378
861,19.2777932
862,19.1389042
863,19.0000152
864,18.8611262
865,18.6389038
866,18.2777924
867,17.7500142
868,17.0555692
869,16.2222352
870,15.3889012
871,14.5555672
872,13.8889
873,13.4166774
874,13.1388994
875,13.0000104
876,13.0277882
877,13.0833438
878,13.194455
879,13.2777884
880,13.4166774
881,13.5555664
882,13.750011
883,13.9444556
884,14.1111224
885,14.2777892
886,14.3889004
887,14.4166782
888,14.3611226
889,14.2222336
890,14.0000112
891,13.6666776
892,13.2500106
893,12.8611214
894,12.5277878
895,12.2777876
896,12.1388986
897,12.0555652
898,11.9722318
899,11.805565
900,11.6111204
901,11.4166758
902,11.1944534
903,11.0277866
904,10.9166754
905,10.8888976
906,10.9166754
907,11.0000088
908,11.11112
909,11.3055646
910,11.5000092
911,11.7222316
912,11.9722318
913,12.2500098
914,12.4444544
915,12.638899
916,12.7222324
917,12.8333436
918,12.8888992
919,12.916677
920,12.916677
921,12.9444548
922,12.916677
923,12.916677
924,12.8888992
925,12.8888992
926,12.8888992
927,12.916677
928,12.8888992
929,12.9444548
930,12.9444548
931,13.0000104
932,12.9722326
933,13.0277882
934,13.0277882
935,13.0277882
936,13.0000104
937,13.055566
938,13.0277882
939,13.0277882
940,13.0277882
941,13.0000104
942,12.8333436
943,12.6666768
944,12.4722322
945,12.3055654
946,12.1666764
947,12.1111208
948,12.083343
949,12.1111208
950,12.1111208
951,12.083343
952,12.083343
953,12.083343
954,12.0555652
955,12.0000096
956,11.944454
957,11.8611206
958,11.7777872
959,11.7500094
960,11.7222316
961,11.6944538
962,11.6944538
963,11.6388982
964,11.5833426
965,11.527787
966,11.4722314
967,11.4444536
968,11.388898
969,11.3611202
970,11.2777868
971,11.0277866
972,10.416675
973,9.861119
974,9.2500074
975,8.7222292
976,7.8888952
977,7.0277834
978,6.2222272
979,5.3055598
980,4.305559
981,3.333336
982,2.4444464
983,1.666668
984,1.0000008
985,0.4444448
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1007,0
1008,0
1009,0
1010,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0.3055558
1028,0.833334
1029,1.5833346
1030,2.3333352
1031,3.0833358
1032,3.888892
1033,4.722226
1034,5.5833378
1035,6.3055606
1036,6.5555608
1037,6.805561
1038,6.8888944
1039,6.8611166
1040,6.8333388
1041,6.8888944
1042,6.94445
1043,7.0277834
1044,7.1111168
1045,7.222228
1046,7.2500058
1047,7.3055614
1048,7.3888948
1049,7.4722282
1050,7.5833394
1051,7.6944506
1052,7.8055618
1053,7.916673
1054,8.1388954
1055,8.4444512
1056,8.8333404
1057,9.3611186
1058,9.9444524
1059,10.5000084
1060,10.972231
1061,11.3333424
1062,11.6111204
1063,11.7777872
1064,11.944454
1065,12.0555652
1066,12.222232
1067,12.361121
1068,12.50001
1069,12.638899
1070,12.8055658
1071,12.916677
1072,13.0277882
1073,13.1666772
1074,13.333344
1075,13.472233
1076,13.6388998
1077,13.8055666
1078,13.9444556
1079,14.027789
1080,14.1111224
1081,14.1944558
1082,14.2500114
1083,14.2500114
1084,14.2500114
1085,14.2500114
1086,14.2222336
1087,14.1944558
1088,14.2222336
1089,14.2777892
1090,14.3333448
1091,14.4166782
1092,14.4722338
1093,14.5277894
1094,14.5555672
1095,14.5555672
1096,14.5000116
1097,14.4166782
1098,14.3333448
1099,14.2500114
1100,14.166678
1101,14.1389002
1102,14.166678
1103,14.305567
1104,14.5277894
1105,14.861123
1106,15.27779
1107,15.7777904
1108,16.3333464
1109,16.9166802
1110,17.500014
1111,18.05557
1112,18.5833482
1113,19.0555708
1114,19.4722378
1115,19.861127
1116,20.2222384
1117,20.5277942
1118,20.8055722
1119,21.0555724
1120,21.2777948
1121,21.4444616
1122,21.5833506
1123,21.6944618
1124,21.7500174
1125,21.805573
1126,21.805573
1127,21.805573
1128,21.8333508
1129,21.8333508
1130,21.8889064
1131,21.944462
1132,22.0555732
1133,22.1389066
1134,22.2777956
1135,22.361129
1136,22.4722402
1137,22.5277958
1138,22.5555736
1139,22.5833514
1140,22.5555736
1141,22.500018
1142,22.3889068
1143,22.22224
1144,21.9722398
1145,21.666684
1146,21.3333504
1147,20.972239
1148,20.5833498
1149,20.2500162
1150,19.9722382
1151,19.7777936
1152,19.6944602
1153,19.722238
1154,19.861127
1155,20.0833494
1156,20.3333496
1157,20.5833498
1158,20.8055722
1159,20.9444612
1160,20.972239
1161,20.8889056
1162,20.694461
1163,20.3611274
1164,19.9166826
1165,19.4166822
1166,18.8611262
1167,18.2500146
1168,17.638903
1169,17.0000136
1170,16.388902
1171,15.7777904
1172,15.1944566
1173,14.6389006
1174,14.1389002
1175,13.7222332
1176,13.3611218
1177,13.0833438
1178,12.916677
1179,12.8611214
1180,12.916677
1181,13.1111216
1182,13.4166774
1183,13.8055666
1184,14.2500114
1185,14.722234
1186,15.2500122
1187,15.7500126
1188,16.2777908
1189,16.7222356
1190,17.1111248
1191,17.3889028
1192,17.5277918
1193,17.5277918
1194,17.4444584
1195,17.2777916
1196,17.0555692
1197,16.8611246
1198,16.6944578
1199,16.6111244
1200,16.6389022
1201,16.7777912
1202,17.0555692
1203,17.4166806
1204,17.8611254
1205,18.3611258
1206,18.8611262
1207,19.3611266
1208,19.8333492
1209,20.3055718
1210,20.7500166
1211,21.1666836
1212,21.527795
1213,21.8333508
1214,22.1389066
1215,22.3889068
1216,22.638907
1217,22.8333516
1218,23.055574
1219,23.2500186
1220,23.4444632
1221,23.5833522
1222,23.6389078
1223,23.6666856
1224,23.5833522
1225,23.4444632
1226,23.2222408
1227,22.9722406
1228,22.638907
1229,22.2500178
1230,21.8611286
1231,21.5000172
1232,21.1666836
1233,20.9444612
1234,20.7777944
1235,20.6389054
1236,20.5000164
1237,20.3333496
1238,20.1111272
1239,19.8889048
1240,19.6666824
1241,19.4722378
1242,19.3333488
1243,19.2500154
1244,19.1944598
1245,19.166682
1246,19.1111264
1247,19.0555708
1248,19.0000152
1249,18.9166818
1250,18.8333484
1251,18.750015
1252,18.6389038
1253,18.5277926
1254,18.4166814
1255,18.2777924
1256,18.194459
1257,18.0833478
1258,18.0277922
1259,17.9444588
1260,17.8889032
1261,17.8055698
1262,17.7222364
1263,17.638903
1264,17.5555696
1265,17.4444584
1266,17.3333472
1267,17.222236
1268,17.0555692
1269,16.8889024
1270,16.6111244
1271,16.2777908
1272,15.8055682
1273,15.2222344
1274,14.5555672
1275,13.8611222
1276,13.1388994
1277,12.4444544
1278,11.8333428
1279,11.3055646
1280,10.9166754
1281,10.6666752
1282,10.5833418
1283,10.5833418
1284,10.694453
1285,10.8611198
1286,11.0833422
1287,11.3333424
1288,11.5833426
1289,11.7777872
1290,11.9722318
1291,12.1111208
1292,12.2777876
1293,12.4444544
1294,12.638899
1295,12.8611214
1296,13.1111216
1297,13.3611218
1298,13.6388998
1299,13.8889
1300,14.166678
1301,14.4166782
1302,14.6389006
1303,14.8333452
1304,15.0277898
1305,15.2222344
1306,15.416679
1307,15.6389014
1308,15.8889016
1309,16.1666796
1310,16.4444576
1311,16.66668
1312,16.8889024
1313,17.083347
1314,17.2777916
1315,17.4722362
1316,17.6944586
1317,17.8889032
1318,18.0833478
1319,18.3055702
1320,18.5000148
1321,18.6389038
1322,18.5555704
1323,18.2222368
1324,17.5833474
1325,16.7222356
1326,15.6111236
1327,14.5000116
1328,13.4444552
1329,12.50001
1330,11.5555648
1331,10.7222308
1332,10.1111192
1333,9.6666744
1334,9.5000076
1335,9.6388966
1336,10.0833414
1337,10.694453
1338,11.388898
1339,12.1388986
1340,12.916677
1341,13.6388998
1342,14.3333448
1343,14.9722342
1344,15.555568
1345,16.0833462
1346,16.5833466
1347,17.0000136
1348,17.361125
1349,17.638903
1350,17.8611254
1351,18.05557
1352,18.1666812
1353,18.2500146
1354,18.3055702
1355,18.3055702
1356,18.3055702
1357,18.2777924
1358,18.2777924
1359,18.2777924
1360,18.2777924
1361,18.2777924
1362,18.3055702
1363,18.333348
1364,18.333348
1365,18.333348
1366,18.333348
1367,18.3611258
1368,18.3889036
1369,18.4166814
1370,18.472237
1371,18.5277926
1372,18.5833482
1373,18.611126
1374,18.6389038
1375,18.6389038
1376,18.611126
1377,18.5833482
1378,18.5555704
1379,18.5277926
1380,18.5277926
1381,18.5555704
1382,18.611126
1383,18.7222372
1384,18.8611262
1385,19.0555708
1386,19.1944598
1387,19.305571
1388,19.3889044
1389,19.4166822
1390,19.305571
1391,19.1389042
1392,18.9166818
1393,18.7222372
1394,18.5277926
1395,18.4166814
1396,18.3889036
1397,18.4166814
1398,18.472237
1399,18.5277926
1400,18.5833482
1401,18.611126
1402,18.6389038
1403,18.6389038
1404,18.611126
1405,18.5833482
1406,18.5555704
1407,18.5277926
1408,18.5277926
1409,18.5555704
1410,18.611126
1411,18.6944594
1412,18.8055706
1413,18.9166818
1414,19.0555708
1415,19.166682
1416,19.2500154
1417,19.2500154
1418,19.2222376
1419,19.1111264
1420,18.9444596
1421,18.7777928
1422,18.7222372
1423,18.6666816
1424,18.5833482
1425,18.4166814
1426,18.1666812
1427,17.777792
1428,17.3333472
1429,16.8333468
1430,16.2777908
1431,15.7500126
1432,15.2222344
1433,14.722234
1434,14.2500114
1435,13.7777888
1436,13.2777884
1437,12.638899
1438,11.8888984
1439,11.0555644
1440,10.138897
1441,9.166674
1442,8.194451
1443,7.1666724
1444,6.1388938
1445,5.1666708
1446,4.2500034
1447,3.4444472
1448,2.6666688
1449,1.8333348
1450,1.0555564
1451,0.4444448
1452,0
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,0
1462,0
1463,0
1464,0
1465,0
1466,0
1467,0
1468,0
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
